462.462,0.985
463.393,0.931
464.335,0.942
465.274,0.939
466.219,0.945
467.097,0.878
467.883,0.786
468.713,0.830
469.576,0.863
470.508,0.932
471.421,0.913
472.232,0.811
473.032,0.800
473.848,0.816
474.685,0.837
475.568,0.883
476.402,0.834
477.276,0.874
478.208,0.932
479.099,0.891
479.998,0.899
480.839,0.841
481.636,0.797
482.491,0.855
483.354,0.863
484.183,0.829
485.097,0.914
486.005,0.908
486.877,0.872
487.800,0.923
488.760,0.960
489.703,0.943
490.609,0.906
491.600,0.991
492.607,1.007
493.591,0.984
494.516,0.925
495.484,0.968
496.448,0.964
497.419,0.971
498.316,0.897
499.219,0.903
500.130,0.911
501.035,0.905
501.906,0.871
502.826,0.920
503.771,0.945
504.668,0.897
505.513,0.845
506.370,0.857
507.290,0.920
508.232,0.942
509.167,0.935
510.074,0.907
511.039,0.965
511.998,0.959
512.937,0.939
513.817,0.880
514.738,0.921
515.684,0.946
516.614,0.930
517.475,0.861
518.361,0.886
519.309,0.948
520.266,0.957
521.173,0.907
522.132,0.959
523.126,0.994
524.101,0.975
525.010,0.909
525.876,0.866
526.743,0.867
527.670,0.927
528.640,0.970
529.577,0.937
530.545,0.968
531.520,0.975
532.450,0.930
533.396,0.946
534.341,0.945
535.241,0.900
536.157,0.916
537.088,0.931
538.017,0.929
538.935,0.918
539.853,0.918
540.792,0.939
541.681,0.889
542.584,0.903
543.478,0.894
544.316,0.838
545.217,0.901
546.144,0.927
547.051,0.907
547.894,0.843
548.803,0.909
549.714,0.911
550.553,0.839
551.403,0.850
552.252,0.849
553.066,0.814
553.858,0.792
554.679,0.821
555.510,0.831
556.326,0.816
557.147,0.821
558.010,0.863
558.874,0.864
559.684,0.810
560.544,0.860
561.394,0.850
562.214,0.820
563.033,0.819
563.877,0.844
564.713,0.836
565.514,0.801
566.302,0.788
567.130,0.828
567.973,0.843
568.807,0.834
569.608,0.801
570.461,0.853
571.331,0.870
572.146,0.815
573.013,0.867
573.880,0.867
574.704,0.824
575.559,0.855
576.429,0.870
577.291,0.862
578.109,0.818
578.988,0.879
579.881,0.893
580.731,0.850
581.621,0.890
582.521,0.900
583.354,0.833
584.211,0.857
585.079,0.868
585.914,0.835
586.726,0.812
587.611,0.885
588.504,0.893
589.393,0.889
590.244,0.851
591.153,0.909
592.096,0.943
592.963,0.867
593.834,0.871
594.724,0.890
595.553,0.829
596.435,0.882
597.311,0.876
598.163,0.852
598.991,0.828
599.847,0.856
600.715,0.868
601.547,0.832
602.334,0.787
603.171,0.837
604.014,0.843
604.862,0.848
605.657,0.795
606.415,0.758
607.133,0.718
607.837,0.704
608.523,0.686
609.189,0.666
609.846,0.657
610.517,0.671
611.236,0.719
611.966,0.730
612.671,0.705
613.375,0.704
614.120,0.745
614.893,0.773
615.677,0.784
616.421,0.744
617.205,0.784
618.000,0.795
618.801,0.801
619.635,0.834
620.484,0.849
621.327,0.843
622.116,0.789
622.967,0.851
623.835,0.868
624.739,0.904
625.613,0.874
626.533,0.920
627.488,0.955
628.438,0.950
629.353,0.915
630.238,0.885
631.121,0.883
632.038,0.917
632.990,0.952
633.907,0.917
634.865,0.958
635.820,0.955
636.698,0.878
637.627,0.929
638.524,0.897
639.341,0.817
640.147,0.806
640.989,0.842
641.817,0.828
642.651,0.834
643.446,0.795
644.272,0.826
645.113,0.841
645.894,0.781
646.701,0.807
647.489,0.788
648.290,0.801
649.102,0.812
649.873,0.771
650.637,0.764
651.370,0.733
652.137,0.767
652.879,0.742
653.602,0.723
654.347,0.745
655.147,0.800
655.971,0.824
656.791,0.820
657.633,0.842
658.443,0.810
659.248,0.805
660.048,0.800
660.803,0.755
661.571,0.768
662.319,0.748
663.065,0.746
663.818,0.753
664.566,0.748
665.321,0.755
666.118,0.797
666.929,0.811
667.760,0.831
668.633,0.873
669.521,0.888
670.384,0.863
671.308,0.924
672.243,0.935
673.194,0.951
674.148,0.954
675.065,0.917
676.016,0.951
676.929,0.913
677.846,0.917
678.680,0.834
679.474,0.794
680.311,0.837
681.162,0.851
681.975,0.813
682.866,0.891
683.783,0.917
684.633,0.850
685.498,0.865
686.297,0.799
687.040,0.743
687.799,0.759
688.556,0.757
689.279,0.723
690.023,0.744
690.748,0.725
691.469,0.721
692.225,0.756
692.991,0.766
693.788,0.797
694.606,0.818
695.382,0.776
696.182,0.800
696.963,0.781
697.713,0.750
698.498,0.785
699.281,0.783
700.048,0.767
700.830,0.782
701.643,0.813
702.477,0.834
703.309,0.832
704.151,0.842
704.930,0.779
705.663,0.733
706.411,0.748
707.207,0.796
708.043,0.836
708.837,0.794
709.695,0.858
710.578,0.883
711.412,0.834
712.257,0.845
713.063,0.806
713.844,0.781
714.606,0.762
715.423,0.817
716.192,0.769
717.012,0.820
717.844,0.832
718.682,0.838
719.519,0.837
720.330,0.811
721.119,0.789
721.885,0.766
722.617,0.732
723.372,0.755
724.157,0.785
724.955,0.798
725.766,0.811
726.580,0.814
727.408,0.828
728.215,0.807
729.054,0.839
729.883,0.829
730.701,0.818
731.591,0.890
732.525,0.934
733.450,0.925
734.366,0.916
735.233,0.867
736.095,0.862
736.938,0.843
737.778,0.840
738.600,0.822
739.540,0.940
740.570,1.030
741.616,1.046
742.612,0.996
743.612,1.000
744.582,0.970
745.564,0.982
746.496,0.932
747.442,0.946
748.377,0.935
749.314,0.937
750.202,0.888
751.141,0.939
752.114,0.973
753.094,0.980
754.076,0.982
755.038,0.962
755.992,0.954
756.944,0.952
757.891,0.947
758.862,0.971
759.806,0.944
760.744,0.938
761.676,0.932
762.602,0.926
763.535,0.933
764.489,0.954
765.465,0.976
766.457,0.992
767.475,1.018
768.468,0.993
